t,u,y
6320,6.8,5.339016942633077
6330,6.8,5.416731443215743
6340,6.8,5.498066562394721
6350,6.8,5.58456284493572
6360,6.8,5.678354431973612
6370,6.8,5.7826185206286205
6380,6.8,5.902508383850265
6390,6.8,6.0473883348969
6400,6.8,6.237455207837589
6410,6.8,6.532340073818563
6420,6.8,7.4334420637382905
6430,6.8,10.692187301477535
6440,6.8,11.013678032985474
6450,6.8,11.184953696468229
6460,6.8,11.299313536023446
6470,6.8,11.383529816623023
6480,6.8,11.449086044855658
6490,6.8,11.501975706776872
6500,6.8,11.545725071293916
6510,6.8,11.582585126173916
6520,6.8,11.614080660375368
6530,6.8,11.641292324061885
6540,6.8,11.665013770206825
6550,6.8,11.68584489792823
6560,6.8,11.704250046109387
6570,6.8,11.720595848474526
6580,6.8,11.735176726235663
6590,6.8,11.74823256797799
6600,6.8,11.759961305403172
6610,6.8,11.770528057582093
6620,6.8,11.780071909862459
6630,6.8,11.788711026073805
6640,6.8,11.796546563173175
6650,6.8,11.803665710283498
6660,6.8,11.810144077404626
6670,6.8,11.81604759421756
6680,6.8,11.821434035042234
6690,6.8,11.826354255135746
6700,6.8,11.830853201687
6710,6.8,11.834970747200783
6720,6.8,11.838742381575665
6730,6.8,11.842199790797029
6740,6.8,11.845371343924851
6750,6.8,11.848282505359743
6760,6.8,11.850956185802188
6770,6.8,11.853413042583632
6780,6.8,11.855671737931653
6790,6.8,11.857749162081493
6800,6.8,11.859660626850175
6810,6.8,11.861420034264038
6820,6.8,11.863040024014046
6830,6.8,11.864532102858776
6840,6.8,11.865906758567462
6850,6.8,11.867173560567696
6860,6.8,11.868341249113783
6870,6.8,11.869417814506011
6880,6.8,11.870410567656034
6890,6.8,11.87132620309894
6900,6.8,11.872170855391037
6910,6.8,11.872950149697555
6920,6.8,11.873669247261454
6930,6.8,11.87433288634959
6940,6.8,11.874945419192224
6950,6.8,11.875510845363932
6960,6.8,11.876032841996155
6970,6.8,11.876514791162345
6980,6.8,11.87695980473442
6990,6.8,11.877370746973005
7000,6.8,11.87775025508268
7010,6.8,11.878100757936503
7020,6.8,11.878424493150648
7030,6.8,11.878723522669684
7040,6.8,11.878999747005302
7050,6.8,11.879254918255812
7060,6.8,11.879490652020166
7070,6.8,11.879708438308338
7080,6.8,11.879909651539393
7090,6.8,11.880095559709346
7100,6.8,11.88026733280266
7110,6.8,11.88042605051401
7120,6.8,11.88057270934046
7130,6.8,11.88070822909844
7140,6.8,11.880833458914811
7150,6.8,11.880949182736657
7160,6.8,11.881056124400404
7170,6.8,11.881154952297104
7180,6.8,11.881246283667464
7190,6.8,11.88133068855719
7200,5.3,11.879523167517752
7210,5.3,11.85559424440709
7220,5.3,11.831996727398849
7230,5.3,11.808744137520428
7240,5.3,11.785849977650617
7250,5.3,11.76332766501253
7260,5.3,11.741190459119663
7270,5.3,11.719451385697717
7280,5.3,11.698123157233814
7290,5.3,11.67721809093229
7300,5.3,11.656748024978624
7310,5.3,11.636724234125163
7320,5.3,11.617157345709424
7330,5.3,11.59805725729318
7340,5.3,11.579433057163463
7350,5.3,11.561292948961192
7360,5.3,11.543644181696079
7370,5.3,11.526492986365637
7380,5.3,11.509844520320579
7390,5.3,11.493702820409247
7400,5.3,11.47807076579197
7410,5.3,11.462950051145901
7420,5.3,11.448341170786849
7430,5.3,11.434243414022937
7440,5.3,11.420654871832664
7450,5.3,11.407572454734375
7460,5.3,11.394991921493313
7470,5.3,11.382907918103333
7480,5.3,11.371314026290241
7490,5.3,11.360202820618154
7500,5.3,11.349565933144092
7510,5.3,11.339394124462386
7520,5.3,11.329677359911193
7530,5.3,11.32040488967876
7540,5.3,11.311565331545895
7550,5.3,11.30314675503101
7560,5.3,11.295136765761832
7570,5.3,11.287522588979066
7580,5.3,11.280291151177565
7590,5.3,11.273429159004843
7600,5.3,11.266923174660372
7610,5.3,11.260759687167253
7620,5.3,11.25492517901661
7630,5.3,11.249406187810441
7640,5.3,11.244189362647854
7650,5.3,11.239261515110028
7660,5.3,11.234609664799287
7670,5.3,11.23022107947588
7680,5.3,11.226083309912115
7690,5.3,11.222184219647186
7700,5.3,11.218512009877417
7710,5.3,11.21505523975667
7720,5.3,11.21180284241091
7730,5.3,11.20874413699046
7740,5.3,11.205868837094462
7750,5.3,11.203167055905674
7760,5.3,11.200629308370843
7770,5.3,11.198246510754133
7780,5.3,11.196009977878889
7790,5.3,11.19391141835777
7800,5.3,11.191942928093788
7810,5.3,11.190096982315438
7820,5.3,11.188366426389072
7830,5.3,11.186744465631119
7840,5.3,11.185224654322257
7850,5.3,11.183800884105551
7860,5.3,11.182467371931239
7870,5.3,11.181218647692313
7880,5.3,11.180049541677695
7890,5.3,11.178955171953437
7900,5.3,11.17793093176746
7910,5.3,11.176972477059408
7920,5.3,11.176075714144696
7930,5.3,11.175236787630379
7940,5.3,11.174452068610313
7950,5.3,11.173718143177881
7960,5.3,11.173031801286522
7970,5.3,11.172390025981105
7980,5.3,11.171789983017021
7990,5.3,11.171229010878374
8000,5.3,11.170704611201998
8010,5.3,11.170214439610023
8020,5.3,11.169756296950283
8030,5.3,11.169328120940992
8040,5.3,11.168927978213775
8050,5.3,11.168554056747103
8060,5.3,11.168204658680676
8070,5.3,11.167878193499995
8080,5.3,11.167573171579406
8090,5.3,11.167288198071164
8100,6.9,11.178764894864429
8110,6.9,11.301683984827905
8120,6.9,11.390777803247115
8130,6.9,11.459455733638773
8140,6.9,11.514494303105774
8150,6.9,11.55979822450266
8160,6.9,11.597823763226144
8170,6.9,11.630216696299918
8180,6.9,11.658133603634013
8190,6.9,11.682418193942496
8200,6.9,11.703704698957843
8210,6.9,11.7224817860682
8220,6.9,11.739133804932592
8230,6.9,11.753968379131877
8240,6.9,11.767235432931727
8250,6.9,11.779140658515677
8260,6.9,11.789855266418705
8270,6.9,11.799523186466745
8280,6.9,11.808266480009074
8290,6.9,11.816189471865481
